ID	ORTHOGRAPHY	CELEX	TYPE	SOURCE_FORM	SOURCE_LANGUAGE	STRATUM	ATTESTED
1318	Cello	ʧ ɛ l oː	1	violoncello	it	2	18. Jh.
1319	Cembalo	ʧ ɛ m b a l oː	1			?	18. Jh.
1320	Chaise		1	chaise	frz	?	17. Jh.
1321	Chaiselongue		1	chaiselongue	frz	2	18. Jh.
1322	Chalet		1	chalet	frz	?	20. Jh.
1323	Chamäleon		1	chamaeleOn	l	2	13. Jh.
1324	chamois		1			?	20. Jh.
1325	Champagner		1			2	18. Jh.
1326	Champignon		1	champignon	frz	2	16. Jh., Form 18. Jh.
1327	Champion		1	champion	ne	2	18. Jh.
1328	Chance	ʃ ɑ̃ː s ə	1	chance	frz	1	17. Jh.
1329	Chanson		1	chanson	frz	2	17. Jh.
1330	Chaos	k aːɔ s	1			1	14. Jh.
1331	Charakter	k a r a k t ə r	1	caractère	frz	1	13. Jh., Bedeutung 17. Jh.
1332	Charge		1	charge	frz	?	17. Jh.
1333	Charisma		1	charisma	spl	2	18. Jh.
1334	Charivari		1	charivari	frz	?	18. Jh.
1335	Charme	ʃ a r m	1	charme	frz	2	17. Jh.
1336	chartern		1	charter	ne	2	19. Jh.
1337	Chassis		1	châssis	frz	?	18. Jh.
1338	Chauffeur	ʃ ɔ f ɶː r	1	chauffeur	frz	1	20. Jh.
1339	Chaussee		1	chaussée	frz	2	18. Jh.
1340	Chauvinismus		1			2	19. Jh.
1341	checken	ʧ ɛ k ə n	1	check	ne	?	20. Jh.
1342	Chef	ʃ ɛ f	1	chef	frz	1	17. Jh.
1343	Chemisette		1	chemisette	frz	?	18. Jh.
1344	-chen					1	-
1345	Chicorée		1	chicorée	frz	2	19. Jh.
1346	Chiffon		1	chiffon	frz	?	19. Jh.
1347	Chiffre		1	chiffre	frz	2	17. Jh.
1348	Chili		1			2	20. Jh.
1349	Chip		1	chip	ne	?	19. Jh., Bedeutung 20. Jh.
1350	Chirurg	x iː r ʊ r k	1	chIrUrgus	l	2	15. Jh., Form 16. Jh.
1351	Cholera	k oː l eː r aː	1			2	10. Jh.
1352	Choleriker	k oː l eː r iː k ə r	1			2	15. Jh.
1353	Chor	k oː r	1			1	9. Jh.
1354	Chrisam		1			?	8. Jh.
1355	Christ 2		1			1	16. Jh.
1356	chromatisch		1			?	18. Jh.
1357	Chronik	k r oː n ɪ k	1	chronica	l	2	8. Jh.
1358	chronisch		1	(morbus)	l	2	18. Jh.
1359	Chrysantheme	k r yː z a n t eː m ə	1	chrysanthemon	l	?	20. Jh.
1360	Chuzpe		1			?	20. Jh.
1361	City		1	city	ne	2	18. Jh.
1362	Clan	k l aː n	1			2	18. Jh.
1363	Claqueur		1	claqueur	frz	?	19. Jh.
1364	clever		1	clever	ne	2	20. Jh.
1365	Clinch		1			?	20. Jh.
1366	Clip		1			2	20. Jh.
1367	Clique		1	clique	frz	2	18. Jh.
1368	Clou		1	clou	frz	2	19. Jh.
1369	Clown	k l au n	1	clown.	ne	1	18. Jh.
1370	Coach		1	coach.	ne	?	20. Jh.
1371	Cockpit		1	cockpit	ne	?	20. Jh.
1372	Cocktail		1	cocktail	ne	2	20. Jh.
1373	Coiffeur	k oːa f ɶː r	1	coiffeur	frz	?	19. Jh.
1374	Collage	k ɔ l aː ʒ ə	1	collage	frz	?	20. Jh.
1375	Comeback		1	comeback	ne	2	20. Jh.
1376	Comics		1			2	20. Jh.
1377	Computer	k ɔ m p j uː t ə r	1	computer	ne	1	20. Jh.
1378	Conférencier		1	conférencier	frz	?	19. Jh.
1379	Container	k ɔ n t eː n ə r	1	container	ne	2	20. Jh.
1380	Copyright	k ɔ p iː r ai t	1	copyright	ne	2	19. Jh.
1381	Couch		1	Couch	ne	1	20. Jh.
1382	Coup		1	coup	frz	2	17. Jh.
1383	Coupé		1	Coupé	frz	?	18. Jh.
1384	Couplet		1	couplet	frz	?	18. Jh.
1385	Courage	k uː r aː ʒ ə	1	courage	frz	2	16. Jh.
1386	Cousin		1	cousin	frz	1	17. Jh.
1387	Cowboy		1			1	20. Jh.
1388	Creme	k r eː m	1	crème.	frz	1	18. Jh.
1389	crescendo		1	crescendo	it	?	18. Jh.
1390	Crew		1	crew	ne	?	19. Jh.
1391	Croupier		1	croupier	frz	?	18. Jh.
1392	Cup		1	cup	ne	2	20. Jh.
1393	Curry		1	curry(-powder)	ne	2	19. Jh.
1394	da 1					1	8. Jh.
1395	da 2					1	8. Jh.
1396	Dach	d a x				1	9. Jh., gidah 8. Jh.
1397	Dachstuhl					2	16. Jh.
1398	Dachtel					?	15. Jh., Bedeutung 17. Jh.
1399	Dackel	d a k ə l				1	18. Jh.
1400	Daffke		1			2	20. Jh.
1401	daheim	d aː h ai m				1	9. Jh., Form 12. Jh.
1402	dahlen					?	16. Jh.
1403	Dakapo		1			?	18. Jh.
1404	Daktylus		1	dactylus	l	?	17. Jh.
1405	Dalles		1			?	18. Jh.
1406	dalli		1			1	19. Jh.
1407	damals	d aː m aː ʪ				1	16. Jh.
1408	Dame 1		1	dama	it	1	16. Jh.
1409	Dame 2		1			1	17. Jh.
1410	dämeln					?	18. Jh.
1411	damisch					2	15. Jh.
1412	dämlich					1	18. Jh.
1413	Damm	d a m				1	13. Jh., Form 16. Jh.
1414	dämmen					1	9. Jh.
1415	Dämmer					1	11. Jh.
1416	Dämon		1	daemOn	l	2	15. Jh., als Zitat eines lateinischen Wortes schon 11. Jh.
1417	Dampf 1					1	10. Jh., dempfen 8. Jh.
1418	Dampf 2					?	13. Jh.
1419	Dampfer	d a m p f ə r				1	19. Jh.
1420	Dämpfer					2	16. Jh., Bedeutung 18. Jh.
1421	Dampfnudel	d a m p f n uː d ə l				2	17. Jh.
1422	Dandy		1	dandy	ne	2	19. Jh.
1423	Dank	d a ŋ k				1	8. Jh.
1424	dann	d a n				1	8. Jh.
1425	dannen					?	8. Jh.
1426	dar					1	8. Jh.
1427	darben	d a r b ə n				2	9. Jh., darbo 8. Jh.
1428	Darlehen	d aː r l eːə n				1	15. Jh., Form 16. Jh.
1429	Darm	d a r m				1	8. Jh.
1430	Darre					?	11. Jh.
1431	darstellen	d aː r ʃ t ɛ l ə n				1	15. Jh.
1432	dasig					?	15. Jh.
1433	daß					1	8. Jh., Form 16. Jh.
1434	Dasselfliege					?	19. Jh.
1435	Daten		1			2	17. Jh., Form 19. Jh.
1436	Dativ	d aː t iː f	1	(cAsus)	l	2	15. Jh., Form 17. Jh.
1437	Datsche		1			?	19. Jh.
1438	Datschi					?	19. Jh.
1439	Dattel	d a t ə l	1			1	11. Jh., Form 13. Jh.
1440	Datum	d aː t ʊ m	1			1	13. Jh.
1441	Daube		1			?	13. Jh., Form 16. Jh.
1442	däuchten					?	15. Jh.
1443	Dauerbrenner					1	20. Jh.
1444	dauern 1		1			1	12. Jh.
1445	dauern 2					1	13. Jh.
1446	Daumen	d au m ə n				1	8. Jh.
1447	Daune	d au n ə	1			2	15. Jh., Form 17. Jh.
1448	Daus 1		1	daus	nordfrz	?	12. Jh.
1449	-de					?	-
1450	Debakel		1	débâcle	frz	2	19. Jh.
1451	Debatte	d eː b a t ə	1	débat	frz	2	17. Jh.
1452	debil	d eː b iː l	1	dEbilis	l	?	17. Jh.
1453	Debüt		1	début	frz	2	18. Jh.
1454	Decher		1	decuria	l	?	13. Jh.
1455	Dechse(l)					?	10. Jh.
1456	Deck	d ɛ k	1			2	17. Jh.
1457	decken	d ɛ k ə n				1	8. Jh.
1458	Deckmantel					1	13. Jh.
1459	Defätismus		1	défaitisme	frz	?	20 Jh.
1460	Defekt	d eː f ɛ k t	1	dEfectus	l	1	16. Jh.
1461	defensiv	d eː f ɛ n z iː f	1	defensivus	ml	2	16. Jh.
1462	Defizit	d eː f iː t͡s iː t	1	déficit	frz	2	18. Jh.
1463	deftig	d ɛ f t ɪ x				1	17. Jh.
1464	Degen 1					?	8. Jh.
1465	degenmäßig					?	17. Jh.
1466	dehnen	d eː n ə n				1	8. Jh.
1467	Deich	d ai x	1			2	15. Jh.
1468	Deichsel	d ai k s ə l				1	10. Jh.
1469	deichseln					2	15. Jh., Bedeutung 19. Jh.
1470	dein	d ai n				1	8. Jh.
1471	Dekade	d eː k aː d ə	1	décade	frz	2	16. Jh.
1472	Dekadenz		1	décadence	frz	2	16. Jh.
1473	Dekan	d eː k aː n	1	decAnus	l	?	10. Jh., Form 15. Jh.
1474	dekolletiert		1	décolleté	frz	2	19. Jh.
1475	Dekret	d eː k r eː t	1			2	13. Jh.
1476	delikat	d eː l iː k aː t	1	délicat	frz	1	16. Jh.
1477	Delikt	d eː l ɪ k t	1	dElictum	l	2	15. Jh.
1478	Delirium		1	dElIrium	l	2	16. Jh.
1479	Delle	d ɛ l ə				2	14. Jh.
1480	Delphin		1			2	13. Jh.
1481	Delta	d ɛ l t aː	1	delta	l	?	16. Jh., Bedeutung 19. Jh.
1482	Demagoge		1	dEmagOgós	gr	2	17. Jh.
1483	Demant		1	demant	afrz	?	15. Jh.
1484	Demarche		1	démarche	frz	?	17. Jh.
1485	Demarkation	d eː m a r k a t͡s iːoː n	1	démarcation;	frz	?	18. Jh.
1486	Dementi	d eː m ɛ n t iː	1	(donner	frz	2	18. Jh.
1487	Demokratie	d eː m oː k r a t iː	1	dEmocratia	l	1	16. Jh.
1488	Demut	d eː m uː t				2	9. Jh., dheomoti 8. Jh.
1489	dengeln					2	12. Jh.
1490	denken	d ɛ ŋ k ə n				1	8. Jh.
1491	Denkmal	d ɛ ŋ k m aː l				1	16. Jh.
1492	Denkzettel	d ɛ ŋ k t͡s ɛ t ə l				1	15. Jh.
1493	denn	d ɛ n				1	18. Jh.
1494	Dentist	d ɛ n t ɪ s t	1	dentiste	frz	2	18. Jh.
1495	Depesche	d eː p ɛ ʃ ə	1	dépêche	frz	2	17. Jh.
1496	Deportation	d eː p ɔ r t a t͡s iːoː n	1	dEportAtio	l	?	16. Jh.
1497	Depot	d eː p oː	1	dépôt	frz	2	18. Jh.
1498	Depp					1	15. Jh.
1499	Depression		1	dépression	frz	2	16. Jh.
1500	Deputat		1	dEputAtum	l	?	15. Jh.
1501	der	d eː r				1	8. Jh.
1502	derb	d ɛ r p				1	9. Jh.
1503	dero					?	15. Jh.
1504	Derwisch	d ɛ r v ɪ ʃ	1			?	16. Jh.
1505	Desaster		1	désastre	frz	2	19. Jh.
1506	Desiderat		1	dEsIderAtum	l	?	17. Jh.
1507	Design		1	design	ne	2	20. Jh.
1508	desolat		1	dEsOlAtum	l	2	16. Jh.
1509	despektierlich		1			2	17. Jh.
1510	Desperado	d ɛ s p eː r aː d oː	1	desperado	ne	?	19. Jh.
1511	desperat	d ɛ s p eː r aː t	1	dEspErAtus	l	?	16. Jh.
1512	Despot		1	despótEs	gr	2	15. Jh.
1513	Dessert	d ɛ s eː r	1	dessert	frz	2	17. Jh.
1514	Dessous		1	dessous	frz	2	20. Jh.
1515	Destination	d ɛ s t iː n a t͡s iːoː n	1	dEstinAtio	l	?	18. Jh.
1516	desto	d ɛ s t oː				1	15. Jh.
1517	destruktiv	d eː s t r ʊ k t iː f	1	destructiv	frz	2	18. Jh., Destruktion 16. Jh.
1518	Detail	d eː t ai	1	détail	frz	2	17. Jh.
1519	Detektiv	d eː t ɛ k t iː f	1	detective	ne	1	19. Jh.
1520	Deut					2	17. Jh.
1521	deuteln					1	16. Jh.
1522	deuten	d ɔy t ə n				1	11. Jh.
1523	deutlich	d ɔy t l ɪ x				1	14. Jh.
1524	deutsch	d ɔy ʧ				1	11. Jh.
1525	Devise	d eː v iː z ə	1	devise	frz	2	16. Jh.
1526	Devisen		1			2	19. Jh.
1527	devot		1	dEvOtus	l	2	15. Jh., Standard 17. Jh.
1528	Dez					1	18. Jh.
1529	Dezember	d eː t͡s ɛ m b ə r	1	(mEnsis)	l	1	13. Jh.
1530	dezent	d eː t͡s ɛ n t	1	decEns	l	1	18. Jh.
1531	dezidiert		1			2	17. Jh., Verb 16. Jh.
1532	Diabetes	d iːa b eː t ɛ s	1			2	18. Jh.
1533	diabolisch	d iːa b oː l ɪ ʃ	1	diabolicus	kirchen-l	2	16. Jh.
1534	Diadem	d iːa d eː m	1			2	9. Jh., das l. Wort an Stelle einer deutschen Glosse 8. Jh.
1535	Diagnose	d iːa ɡ n oː z ə	1	diagnose	frz	2	18. Jh., Form 19. Jh.
1536	diagonal	d iːa ɡ oː n aː l	1	diagonalis	ml	2	15. Jh., Form 18. Jh.
1537	Diagramm	d iːa ɡ r a m	1	diágramma	gr	2	16. Jh., Form 19. Jh.
1538	Diakon	d iːa k oː n	1			2	9. Jh., iacuno 8. Jh.
1539	diakritisch		1	diakritikós	gr	?	19. Jh.
1540	Dialekt	d iːa l ɛ k t	1	dialectus	l	1	16. Jh.
1541	Dialektik	d iːa l ɛ k t ɪ k	1	(ars)	l	?	12. Jh., kontinuierlich seit dem 16. Jh.
1542	Dialog	d iːa l oː k	1	dialogus	l	1	14. Jh., Form 18. Jh.
1543	Diamant	d iːa m a n t	1			1	13. Jh.
1544	diametral	d iːa m eː t r aː l	1	diametrAlis	spl	?	18. Jh.
1545	Diarium		1	diArium	l	?	16. Jh.
1546	Diarrhöe		1			?	18. Jh.
1547	Diaspora	d iːa s p oː r aː	1	diaspora	kirchen-l	?	18. Jh.
1548	Diät		1	diaeta	l	1	13. Jh.
1549	Diäten		1	dieta	ml	2	15. Jh., Bedeutung 18. Jh.
1550	dibbern		1			?	15. Jh.
1551	dich	d ɪ x				1	8. Jh.
1552	Dichotomie		1	dichotomía	gr	?	18. Jh.
1553	dicht	d ɪ x t				1	13. Jh.
1554	dichten 1					1	15. Jh.
1555	dichten 2		1			1	9. Jh.
1556	dick	d ɪ k				1	8. Jh.
1557	Dickicht					1	17. Jh.
1558	Dickkopf	d ɪ kk ɔ p f				1	16. Jh., Bedeutung 17. Jh.
1559	didaktisch	d iː d a k t ɪ ʃ	1	didaktikós	gr	2	18. Jh., Didaktik 17. Jh.
1560	Dieb	d iː p				1	8. Jh.
1561	Diele	d iː l ə				1	8. Jh.
1562	Dieme					?	14. Jh.
1563	dienen	d iː n ə n				1	8. Jh.
1564	Diener	d iː n ə r				1	11. Jh.
1565	Dienst	d iː n s t				1	8. Jh.
1566	Dienstag	d iː n s t aː k				1	13. Jh.
1567	dieser	d iː z ə r				1	8. Jh.
1568	diesig	d iː z ɪ x				1	18. Jh.
1569	Differenz	d ɪ f ə r ɛ n t͡s	1	differentia	l	2	13. Jh.
1570	diffizil		1	difficile	frz	2	17. Jh.
1571	diffus	d ɪ f uː s	1	diffUsus	l	2	19. Jh.
1572	digital	d iː ɡ iː t aː l	1	digital	ne	?	20. Jh.
1573	Diglossie		1	diglossia	ngr	?	20. Jh.
1574	Diktatur	d ɪ k t a t uː r	1	dictAtUra	l	2	15. Jh.
1575	Dilemma	d iː l ɛ m aː	1	dilEmma	l	2	16. Jh.
1576	Dilettant	d iː l ɛ t a n t	1	dilettante	it	2	18. Jh.
1577	Dill	d ɪ l				2	8. Jh.
1578	Dimension	d iː m ɛ n z iːoː n	1	dImEnsiO	l	2	15. Jh.
1579	Diminutiv		1	(nOmen)	l	?	17. Jh., Form 18. Jh.
1580	Dimmer		1	dimmer	ne	?	20. Jh.
1581	DIN					2	20. Jh.
1582	Diner		1	dîner	frz	2	18. Jh.
1583	Ding	d ɪ ŋ				1	8. Jh.
1584	dingen	d ɪ ŋ ə n				2	8. Jh.
1585	dingfest	d ɪ ŋ f ɛ s t				2	19. Jh.
1586	Dings					1	16. Jh.
1587	Dinkel					2	9. Jh.
1588	Diözese		1	dioecEsis	l	2	16. Jh.
1589	Diphthong		1	diphthongus	l	2	14. Jh.
1590	Diplom	d ɪ p l oː m	1	diplOma	l	2	16. Jh.
1591	Diplomat	d ɪ p l oː m aː t	1	diplomate	frz	2	19. Jh.
1592	dir					1	8. Jh.
1593	direkt	d iː r ɛ k t	1	dIrEctus	l	1	15. Jh.
1594	Direktor	d iː r ɛ k t ɔ r	1	dIrEctor	spl	1	16. Jh.
1595	Dirne	d ɪ r n ə				2	8. Jh.
1596	Disagio		1	disaggio	it	?	19. Jh.
1597	Diskant	d ɪ s k a n t	1			?	14. Jh.
1598	Diskjockey		1			?	20. Jh.
1599	Diskont	d ɪ s k ɔ n t	1	disconto	it	?	17. Jh.
1600	Diskrepanz	d ɪ s k r eː p a n t͡s	1	discrepantia	l	2	16. Jh.
1601	diskret	d ɪ s k r eː t	1	discret	frz	1	16. Jh.
1602	Diskurs	d ɪ s k ʊ r s	1	discursus	l	?	16. Jh.
1603	Diskus	d ɪ s k ʊ s	1	discus	l	2	18. Jh.
1604	disparat		1	disparAtus	l	?	18. Jh.
1605	Dispatcher		1			?	20. Jh.
1606	Disput	d ɪ s p uː t	1	dispute	frz	2	15. Jh., disputieren 12. Jh.
1607	Dissens		1	dissEnsus	l	?	17. Jh.
1608	Dissertation	d ɪ s ɛ r t a t͡s iːoː n	1	dissertAtiO	l	2	16. Jh.
1609	Dissident	d ɪ s iː d ɛ n t	1	dissidEns	l	?	16. Jh.
1610	Dissonanz	d ɪ s oː n a n t͡s	1	dissonantia	l	2	15. Jh., Form 17. Jh.
1611	Distanz	d ɪ s t a n t͡s	1	dIstantia	l	1	15. Jh.
1612	Distel	d ɪ s t ə l				1	9. Jh.
1613	Distichon		1	distichon	l	?	16. Jh.
1614	Distinktion	d ɪ s t ɪ ŋ k t͡s iːoː n	1	distInctio	l	?	16. Jh.
1615	Distribution	d ɪ s t r iː b uː t͡s iːoː n	1	distribUtio	l	?	16. Jh.
1616	Distrikt	d ɪ s t r ɪ k t	1	dIstrictus	spl	2	16. Jh.
1617	Disziplin	d ɪ s t͡s ɪ p l iː n	1	disciplIna	l	1	12. Jh.
1618	dito		1	detto	it	2	15. Jh.
1619	Dittchen		1	dudek	poln	?	16. Jh.
1620	Diva	d iː v aː	1	diva	it	2	17. Jh.
1621	divergent	d iː v ɛ r ɡ ɛ n t	1	divergens	ml	?	18. Jh.
1622	divers	d iː v ɛ r s	1	dIversus	l	2	16. Jh.
1623	Dividende	d iː v iː d ɛ n d ə	1	dividende	frz	2	18. Jh.
1624	Division	d iː v iː z iːoː n	1			2	15. Jh.
1625	Diwan		1			2	17. Jh.
1626	doch	d ɔ x				1	8. Jh.
1627	Docht	d ɔ x t				1	10. Jh.
1628	Docke	d ɔ k ə				?	10. Jh.
1629	Dogge	d ɔ ɡ ə	1	dog	ne	2	16. Jh., Form 18. Jh.
1630	Dogma	d ɔ ɡ m aː	1	dogma	l	2	16. Jh.
1631	Dohle					2	13. Jh.
1632	Dohne					?	15. Jh.
1633	Doktor	d ɔ k t ɔ r	1			1	14. Jh.
1634	Doktrin	d ɔ k t r iː n	1	doctrIna	l	2	16. Jh.
1635	Dokument	d oː k uː m ɛ n t	1	documentum	ml	1	16. Jh.
1636	Dolde					2	11. Jh.
1637	Dole					?	9. Jh.
1638	Dolle					?	17. Jh.
1639	Dolmen		1	dolmen	frz	?	19. Jh.
1640	Dolmetsch(er)		1			1	13. Jh.
1641	Dom 1		1			1	8. Jh., Form 14. Jh.
1642	Dom 2		1			2	18. Jh.
1643	Domäne		1	domaine	frz	2	16. Jh.
1644	Domestik		1	domestique	frz	?	17. Jh.
1645	Domino		1	domino	frz	?	18. Jh.
1646	Domizil	d oː m iː t͡s iː l	1	domicilium	l	2	12. Jh.
1647	Dompteur	d ɔ m p t ɶː r	1	dompteur	frz	2	20. Jh.
1648	Donner	d ɔ n ə r				1	9. Jh., donaron 8. Jh.
1649	Donnerkeil	d ɔ n ə r k ai l				?	16. Jh.
1650	Donnerlittchen					1	19. Jh.
1651	Dönse		1			?	11. Jh., ndd. 13. Jh.
1652	doof	d oː f				1	20. Jh.
1653	dopen		1	dope	ne	2	20. Jh.
1654	Doppel	d ɔ p ə l	1	double	frz	2	17. Jh.
1655	Doppeldecker	d ɔ p ə l d ɛ k ə r				2	20. Jh.
1656	doppeln	d ɔ p ə l n	1			?	13. Jh.
1657	doppelt	d ɔ p ə l t	1	doble	afrz	1	14. Jh.
1658	Dorf	d ɔ r f				1	8. Jh.
1659	Dorn	d ɔ r n				1	8. Jh.
1660	dorren	d ɔ r ə n				1	8. Jh.
1661	dörren					1	9. Jh.
1662	Dorsch	d ɔ r ʃ	1			2	14. Jh.
1663	dort	d ɔ r t				1	9. Jh.
1664	dösig					1	19. Jh., tusic 8. Jh.
1665	Dosis	d oː z ɪ s	1	dosis	ml	2	16. Jh.
1666	Dossier	d ɔ s iːeː	1	dossier	frz	?	19. Jh.
1667	Dotter	d ɔ t ə r				1	11. Jh.
1668	Double		1	double	frz	2	19. Jh.
1669	Doyen		1	doyen	frz	?	19. Jh.
1670	Drache 1		1			1	9. Jh.
1671	Drachme	d r a x m ə	1	drachma	l	?	15. Jh.
1672	Dragee		1	drageia	ml	2	16. Jh.
1673	Dragoner		1	dragon	frz	2	16. Jh., Form 17. Jh.
1674	Draht	d r aː t				1	11. Jh.
1675	drall					1	15. Jh., Standard 18. Jh.
1676	Drama	d r aː m aː	1	drAma	spl	1	16. Jh.
1677	dran	d r a n				1	14. Jh.
1678	Drang	d r a ŋ				1	12. Jh.
1679	Drank	d r a ŋ k				?	20. Jh.
1680	drastisch	d r a s t ɪ ʃ	1	drastikós	gr	1	18. Jh.
1681	dräuen					?	8. Jh.
1682	draus					1	9. Jh.
1683	drechseln					1	10. Jh.
1684	Dreck	d r ɛ k				1	12. Jh.
1685	drehen	d r eːə n				1	8. Jh.
1686	drei	d r ai				1	8. Jh.
1687	Dreifaltigkeit	d r ai f a l t ɪ x k ai t				2	12. Jh.
1688	dreist	d r ai s t				1	13. Jh., Standard 16. Jh.
1689	Drell					2	15. Jh.
1690	dreschen	d r ɛ ʃ ə n				1	8. Jh.
1691	Dreß		1	dress	ne	2	19. Jh.
1692	dribbeln	d r ɪ b ə l n	1	dribble	ne	2	20. Jh.
1693	Driesch					?	13. Jh., in Ortsnamen bereits seit dem 8. Jh.
1694	Drift	d r ɪ f t	1			?	14. Jh.
1695	drillen	d r ɪ l ə n				2	16. Jh.
1696	Drilling 1					1	15. Jh., Form 16. Jh.
1697	Drilling 2					?	19. Jh.
1698	drin	d r ɪ n				1	13. Jh.
1699	dringen	d r ɪ ŋ ə n				1	8. Jh.
1700	Drischel					?	12. Jh.
1701	dritte					1	8. Jh.
1702	Drittel	d r ɪ t ə l				1	12. Jh., Form 14. Jh.
1703	Droge	d r oː ɡ ə	1	drogue	frz	2	16. Jh., etwas älter ist in dieser Bedeutung drogeri/ei
1704	dröge					?	16. Jh., Bedeutung 19. Jh.
1705	Drogerie		1	droguerie	frz	1	16. Jh., Bedeutung 19. Jh.
1706	drohen	d r oːə n				1	8. Jh.
1707	Drohne					2	9. Jh., Form 17. Jh.
1708	dröhnen					1	17. Jh.
1709	drollig	d r ɔ l ɪ x	1	drollig;	nndl	1	17. Jh.
1710	Dromedar	d r oː m eː d aː r	1			2	13. Jh.
1711	Drops	d r ɔ p s	1	drop	ne	2	19. Jh.
1712	Droschke	d r ɔ ʃ k ə	1	drózki	russ	2	18. Jh.
1713	dröseln					2	18. Jh.
1714	Drossel 1					1	10. Jh.
1715	Drossel 2					2	10. Jh., Form 13. Jh.
1716	Drost					?	13. Jh., Standard 16. Jh.
1717	drüben					1	17. Jh.
1718	drucken	d r ʊ k ə n				1	9. Jh., Bedeutung 15. Jh.
1719	drücken					1	9. Jh.
1720	drucksen					1	16. Jh.
1721	Drude					?	14. Jh.
1722	Drudel					2	20. Jh.
1723	Druide	d r uːiː d ə	1			2	16. Jh.
1724	Drusch					?	17. Jh.
1725	Drüse					1	8. Jh.
1726	Drusen					?	10. Jh.
1727	Dschungel		1	jungle	ne	1	19. Jh.
1728	du	d uː				1	8. Jh.
1729	Dual	d uːaː l	1	duAlis	l	?	19. Jh., Form 20. Jh.
1730	Dübel					2	9. Jh.
1731	dubios	d uː b iːoː s	1	dubiOsus	l	2	17. Jh.
1732	Dublee	d ʊ b l eː	1	doublé	frz	?	19. Jh.
1733	Dublette	d uː b l ɛ t ə	1	doublet	frz	2	17. Jh.
1734	Dublone		1	doublon	frz	?	18. Jh.
1735	Ducht					?	12. Jh., Form 17. Jh.
1736	Duckdalbe		1			?	18. Jh.
1737	ducken	d ʊ k ə n				1	14. Jh.
1738	Duckmäuser					1	15. Jh.
1739	Duell	d uːɛ l	1	duellum	ml	1	16. Jh.
1740	Duett		1	duetto	it	2	18. Jh.
1741	Duft	d ʊ f t				1	11. Jh.
1742	dufte	d ʊ f t ə	1			2	19. Jh.
1743	Dukaten		1			2	14. Jh.
1744	Düker					?	20. Jh.
1745	dulden	d ʊ l d ə n				1	8. Jh.
1746	Dult		1			?	8. Jh.
1747	Dumdum (Dumdumgeschoß)		1	dumdum	ne	?	19. Jh.
1748	dumm	d ʊ m				1	9. Jh.
1749	dummdreist					1	17. Jh.
1750	dumpf	d ʊ m p f				1	17. Jh.
1751	Düne					1	16. Jh.
1752	Dung	d ʊ ŋ				1	12. Jh., tunggulla «Mistwasser» 8. Jh.
1753	dunkel	d ʊ ŋ k ə l				1	8. Jh.
1754	Dünkel					2	16. Jh.
1755	Dunkelmann					1	18. Jh.
1756	dünken					1	8. Jh.
1757	dünn					1	8. Jh.
1758	Dunst	d ʊ n s t				1	10. Jh.
1759	Dünung					?	19. Jh.
1760	Dunzel		1	donzelle	frz	?	17. Jh.
1761	Duo	d uːoː	1	duo	it	2	18. Jh.
1762	Duplikat	d ʊ p l iː k aː t	1	duplicAtum	l	2	17. Jh.
1763	Dur	d uː r	1			2	17. Jh.
1764	durch	d ʊ r x				1	8. Jh.
1765	durchaus	d ʊ r x au s				1	14. Jh.
1766	durchbrennen	d ʊ r x b r ɛ n ə n				1	19. Jh.
1767	durchfallen	d ʊ r x f a l ə n				1	18. Jh.
1768	durchlaucht					2	12. Jh., Bedeutung 15. Jh.
1769	Durchmesser	d ʊ r x m ɛ s ə r				1	17. Jh.
1770	Durchschnitt	d ʊ r x ʃ n ɪ t				1	16. Jh.
1771	Durchstecherei					2	18. Jh.
1772	durchtrieben	d ʊ r x t r iː b ə n				1	13. Jh.
1773	durchweg(s)					1	18. Jh.
1774	dürfen					1	9. Jh.
1775	dürftig					1	8. Jh.
1776	dürr					1	8. Jh.
1777	Durst	d ʊ r s t				1	9. Jh.
1778	Dusche	d ʊ ʃ ə	1	douche	frz	1	18. Jh.
1779	Düse					1	16. Jh.
1780	Dusel	d uː z ə l				1	16. Jh.
1781	Dussel					2	19. Jh.
1782	düster					1	12. Jh., Standard 16. Jh.
1783	Dutt					?	20. Jh.
1784	Dutte					?	8. Jh.
1785	Dutzend	d ʊ t͡s ə n t	1			1	14. Jh.
1786	duzen	d uː t͡s ə n				1	13. Jh.
1787	dynamisch	d yː n aː m ɪ ʃ	1			1	18. Jh.
1788	Dynastie	d yː n a s t iː	1	dynasteía	gr	2	16. Jh.
1789	-e					2	-
1790	Ebbe	ɛ b ə				1	16. Jh.
1791	eben	eː b ə n				1	8. Jh.
1792	Ebenbild	eː b ə n b ɪ l t				2	12. Jh.
1793	Eber	eː b ə r				1	8. Jh.
1794	Eberesche	eː b ə r ɛ ʃ ə				2	15. Jh.
1795	Eberraute		1			?	14. Jh.
1796	echauffieren		1	échauffer	frz	?	17. Jh.
1797	Echo	ɛ x oː	1	EchO	l	1	16. Jh.
1798	Echse	ɛ k s ə				?	19. Jh.
1799	echt	ɛ x t				1	13. Jh., ewahaft 8. Jh.
1800	Ecke	ɛ k ə				1	11. Jh., eggibug «Abzweigung» 8. Jh.
1801	Ecker	ɛ k ə r				2	11. Jh.
1802	Ecu		1			?	20. Jh.
1803	edel	eː d ə l				1	9. Jh., edili 8. Jh.
1804	Edikt	eː d ɪ k t	1	Edictum	l	?	12. Jh.
