# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	ALIGNMENT	STRUCTURE	PATTERNS
141	English	dry	20	draɪ	d r aɪ	38	d r aɪ - - -	c c c	187-6/d 95-23/ʁ 41-1/Ø 24-2/jˀ 6-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
142	Danish	dry	20	tɶˀʁ	t ɶˀ ʁ	37	t ɶˀ ʁ	c c c	119-3/t 40-1/ɶˀ 116-1/ʁ 0/n 0/n 0/n
143	Swedish	dry	20	torː	t o rː	37	t o rː	c c c	119-3/t 40-1/ɶˀ 116-1/ʁ 0/n 0/n 0/n
144	Icelandic	dry	20	θʏrː	θ ʏ rː	37	θ ʏ rː	c c c	119-3/t 40-1/ɶˀ 116-1/ʁ 0/n 0/n 0/n
145	Dutch	dry	20	droːx	d r oː x	38	d r oː x - -	c c c c	187-6/d 95-23/ʁ 41-1/Ø 24-2/jˀ 6-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
146	Norwegian	dry	20	tœɾ	t œ ɾ	37	t œ ɾ	c c c	119-3/t 40-1/ɶˀ 116-1/ʁ 0/n 0/n
#
147	German	ear	21	oːr	oː r	39	oː r -	c c	252-1/øːʌ 37-5/- 262-2/- 0/n 0/n 0/n
148	English	ear	21	ɪər	ɪə r	39	ɪə r -	c c	252-1/øːʌ 37-5/- 262-2/- 0/n 0/n 0/n
149	Danish	ear	21	øːʌ	øːʌ	39	øːʌ - -	c	252-1/øːʌ 37-5/- 262-2/- 0/n 0/n 0/n 0/n
150	Swedish	ear	21	øːra	øː r a	39	øː r a	c c c	252-1/øːʌ 37-5/- 262-2/- 0/n 0/n 0/n
151	Icelandic	ear	21	eiːra	eiː r a	39	eiː r a	c c c	252-1/øːʌ 37-5/- 262-2/- 0/n 0/n 0/n 0/n
152	Dutch	ear	21	oːr	oː r	39	oː r -	c c	252-1/øːʌ 37-5/- 262-2/- 0/n 0/n 0/n
153	Norwegian	ear	21	øːɾə	øː ɾ ə	39	øː ɾ ə	c c c	252-1/øːʌ 37-5/- 262-2/- 0/n 0/n 0/n
#
154	German	earth	22	eːrdə	eː r d ə	40	- eː r d ə	c c c c	91-5/j 296-1/oˀ 95-23/ʁ 115-1/- 284-2/- 0/n 0/n 0/n 0/n 0/n
155	English	earth	22	ɜːrθ	ɜː r θ	40	- ɜː r θ -	c c c	91-5/j 296-1/oˀ 95-23/ʁ 115-1/- 284-2/- 0/n 0/n 0/n 0/n 0/n
156	Danish	earth	22	joˀʁ	j oˀ ʁ	40	j oˀ ʁ - -	c c c	91-5/j 296-1/oˀ 95-23/ʁ 115-1/- 284-2/- 0/n 0/n 0/n 0/n 0/n
157	Swedish	earth	22	joːrd	j oː r d	40	j oː r d -	c c c c	91-5/j 296-1/oˀ 95-23/ʁ 115-1/- 284-2/- 0/n 0/n 0/n 0/n 0/n
158	Icelandic	earth	22	jœrð	j œ r ð	40	j œ r ð -	c c c c	91-5/j 296-1/oˀ 95-23/ʁ 115-1/- 284-2/- 0/n 0/n 0/n 0/n
159	Dutch	earth	22	aːrdə	aː r d ə	40	- aː r d ə	c c c c	91-5/j 296-1/oˀ 95-23/ʁ 115-1/- 284-2/- 0/n 0/n 0/n 0/n 0/n
160	Norwegian	earth	22	juːɾ	j uː ɾ	-40	j uː ɾ	c c c	0/n 0/n 0/n 0/n 0/n 0/n
#
161	German	eat (V)	23	ɛsən	ɛ s ə n	42	ɛ s ə n	c c c c	77-2/ɛˀ 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n
162	English	eat (V)	23	iːt	iː t	42	iː t - -	c c	77-2/ɛˀ 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n
163	Danish	eat (V)	23	sbiːsə	s b iː s ə	-41	s b iː s ə	c c c c c	239-13/s 4-2/b 228-3/iː 239-13/s 6-11/ə 0/n 0/n 0/n 0/n 0/n
164	Swedish	eat (V)	23	ɛːta	ɛː t a	42	ɛː t a -	c c c	77-2/ɛˀ 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n
165	Icelandic	eat (V)	23	pɔrða	p ɔ r ð a	43	p ɔ r ð a	c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
166	Dutch	eat (V)	23	eːtə	eː t ə	42	eː t ə -	c c c	77-2/ɛˀ 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n
167	Norwegian	eat (V)	23	spiːsə	s p iː s ə	-41	s p iː s ə	c c c c c	239-13/s 4-2/b 228-3/iː 239-13/s 6-11/ə 0/n 0/n 0/n 0/n 0/n
#
168	German	egg	24	ai	ai	44	ai -	c	214-1/ɛˀ 243-1/g 0/n 0/n
169	English	egg	24	ɛɡ	ɛ ɡ	44	ɛ ɡ	c c	214-1/ɛˀ 243-1/g 0/n
170	Danish	egg	24	ɛˀg	ɛˀ g	44	ɛˀ g	c c	214-1/ɛˀ 243-1/g 0/n 0/n
171	Swedish	egg	24	egː	e gː	44	e gː	c c	214-1/ɛˀ 243-1/g 0/n 0/n
172	Icelandic	egg	24	ɛkː	ɛ kː	44	ɛ kː	c c	214-1/ɛˀ 243-1/g 0/n 0/n
173	Dutch	egg	24	ɛɪ	ɛɪ	44	ɛɪ -	c	214-1/ɛˀ 243-1/g 0/n 0/n
174	Norwegian	egg	24	eg	e g	44	e g	c c	214-1/ɛˀ 243-1/g 0/n
#
175	German	eye	25	auɡə	au ɡ ə	45	au ɡ ə	c c c	202-2/ʌ 137-1/j 6-11/ə 0/n 0/n 0/n
176	English	eye	25	aɪ	aɪ	45	aɪ - -	c	202-2/ʌ 137-1/j 6-11/ə 0/n 0/n 0/n
177	Danish	eye	25	ʌjə	ʌ j ə	45	ʌ j ə	c c c	202-2/ʌ 137-1/j 6-11/ə 0/n 0/n
178	Swedish	eye	25	øːga	øː g a	45	øː g a	c c c	202-2/ʌ 137-1/j 6-11/ə 0/n 0/n 0/n
179	Icelandic	eye	25	øyːɣa	øyː ɣ a	45	øyː ɣ a	c c c	202-2/ʌ 137-1/j 6-11/ə 0/n 0/n 0/n 0/n
180	Dutch	eye	25	oːx	oː x	45	oː x -	c c	202-2/ʌ 137-1/j 6-11/ə 0/n 0/n 0/n
181	Norwegian	eye	25	œjə	œ j ə	45	œ j ə	c c c	202-2/ʌ 137-1/j 6-11/ə 0/n 0/n
#
732	German	far	101	fɛrn	f ɛ r n	163	f - ɛ r - n	c c c c	83-15/f 91-5/j 287-1/æ 117-2/ʁˀ 262-2/- 215-2/n 0/n 0/n 0/n 0/n 0/n
733	English	far	101	fɑːr	f ɑː r	163	f - ɑː r - -	c c c	83-15/f 91-5/j 287-1/æ 117-2/ʁˀ 262-2/- 215-2/n 0/n 0/n 0/n 0/n 0/n 0/n
734	Danish	far	101	fjæʁˀn	f j æ ʁˀ n	163	f j æ ʁˀ - n	c c c c c	83-15/f 91-5/j 287-1/æ 117-2/ʁˀ 262-2/- 215-2/n 0/n 0/n 0/n 0/n 0/n 0/n
735	Swedish	far	101	loŋ	l o ŋ	162	l o ŋ	c c c	55-1/l 45-1/ɑ 255-1/ŋˀ 0/n 0/n
736	Icelandic	far	101	laŋ	l a ŋ	162	l a ŋ	c c c	55-1/l 45-1/ɑ 255-1/ŋˀ 0/n 0/n
737	Dutch	far	101	vɛr	v ɛ r	163	v - ɛ r - -	c c c	83-15/f 91-5/j 287-1/æ 117-2/ʁˀ 262-2/- 215-2/n 0/n 0/n 0/n 0/n 0/n
738	Norwegian	far	101	buʈ	b u ʈ	162	b u ʈ	c c c	55-1/l 45-1/ɑ 255-1/ŋˀ 0/n 0/n
739	Danish	far	101	lɑŋˀ	l ɑ ŋˀ	162	l ɑ ŋˀ	c c c	55-1/l 45-1/ɑ 255-1/ŋˀ 0/n 0/n 0/n
740	Swedish	far	101	fjɛrːan	f j ɛ rː a n	163	f j ɛ rː a n	c c c c c c	83-15/f 91-5/j 287-1/æ 117-2/ʁˀ 262-2/- 215-2/n 0/n 0/n 0/n 0/n 0/n 0/n
#
182	German	fat	26	fɛt	f ɛ t	-46	f ɛ t	c c c	83-15/f 108-3/ɛ 171-6/d 0/n 0/n
183	English	fat	26	fæt	f æ t	46	f æ t -	c c c	83-15/f 135-1/e 171-6/d 122-3/- 0/n 0/n 0/n
184	Danish	fat	26	fed	f e d	46	f e d -	c c c	83-15/f 135-1/e 171-6/d 122-3/- 0/n 0/n 0/n
185	Swedish	fat	26	fɛt	f ɛ t	46	f ɛ t -	c c c	83-15/f 135-1/e 171-6/d 122-3/- 0/n 0/n 0/n
186	Icelandic	fat	26	fɪːta	f ɪː t a	46	f ɪː t a	c c c c	83-15/f 135-1/e 171-6/d 122-3/- 0/n 0/n 0/n 0/n
187	Dutch	fat	26	vɛt	v ɛ t	46	v ɛ t -	c c c	83-15/f 135-1/e 171-6/d 122-3/- 0/n 0/n 0/n
188	Norwegian	fat	26	fet	f e t	-46	f e t	c c c	83-15/f 108-3/ɛ 171-6/d 0/n 0/n
#
189	German	feather	27	feːdər	f eː d ə r	47	f - eː d ə r	c c c c c	83-15/f 91-5/j 57-1/e 244-1/ðˀ 93-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n 0/n
190	English	feather	27	fɛðər	f ɛ ð ə r	47	f - ɛ ð ə r	c c c c c	83-15/f 91-5/j 57-1/e 244-1/ðˀ 93-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n
191	Danish	feather	27	fjeðˀʌ	f j e ðˀ ʌ	47	f j e ðˀ ʌ -	c c c c c	83-15/f 91-5/j 57-1/e 244-1/ðˀ 93-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n 0/n
192	Swedish	feather	27	fjɛːder	f j ɛː d e r	47	f j ɛː d e r	c c c c c c	83-15/f 91-5/j 57-1/e 244-1/ðˀ 93-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n 0/n
193	Icelandic	feather	27	fjœːðʏr	f j œː ð ʏ r	47	f j œː ð ʏ r	c c c c c c	83-15/f 91-5/j 57-1/e 244-1/ðˀ 93-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n 0/n
194	Dutch	feather	27	veːr	v eː r	47	v - eː - - r	c c c	83-15/f 91-5/j 57-1/e 244-1/ðˀ 93-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n 0/n
195	Norwegian	feather	27	fjæːɾ	f j æː ɾ	47	f j æː - - ɾ	c c c c	83-15/f 91-5/j 57-1/e 244-1/ðˀ 93-1/ʌ 37-5/- 0/n 0/n 0/n 0/n 0/n 0/n
#
196	German	fire	28	fɔyər	f ɔyə r	48	f ɔyə r	c c c	83-15/f 14-1/Ø 95-23/ʁ 0/n 0/n 0/n 0/n
197	English	fire	28	faɪər	f aɪə r	48	f aɪə r	c c c	83-15/f 14-1/Ø 95-23/ʁ 0/n 0/n 0/n 0/n
198	Danish	fire	28	ilˀ	i lˀ	50	i lˀ - - -	c c	206-1/i 204-2/lˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
199	Swedish	fire	28	elːd	e lː d	50	e lː d - -	c c c	206-1/i 204-2/lˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
200	Icelandic	fire	28	ɛltʏr	ɛ l t ʏ r	50	ɛ l t ʏ r	c c c c c	206-1/i 204-2/lˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n
201	Dutch	fire	28	vyːr	v yː r	48	v yː r	c c c	83-15/f 14-1/Ø 95-23/ʁ 0/n 0/n 0/n
202	Norwegian	fire	28	ʋɑɾmə	ʋ ɑ ɾ m ə	49	ʋ ɑ ɾ m ə	c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
203	Norwegian	fire	28	il	i l	50	i l - - -	c c	206-1/i 204-2/lˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n
#
204	German	fish	29	fɪʃ	f ɪ ʃ	51	f ɪ ʃ - - -	c c c	83-15/f 205-3/e 48-2/s 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
205	English	fish	29	fɪʃ	f ɪ ʃ	51	f ɪ ʃ - - -	c c c	83-15/f 205-3/e 48-2/s 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
206	Danish	fish	29	fesg	f e s g	51	f e s g - -	c c c c	83-15/f 205-3/e 48-2/s 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
207	Swedish	fish	29	fisːk	f i sː k	51	f i sː k - -	c c c c	83-15/f 205-3/e 48-2/s 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
208	Icelandic	fish	29	fɪskʏr	f ɪ s k ʏ r	51	f ɪ s k ʏ r	c c c c c c	83-15/f 205-3/e 48-2/s 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
209	Dutch	fish	29	vɪs	v ɪ s	51	v ɪ s - - -	c c c	83-15/f 205-3/e 48-2/s 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
210	Norwegian	fish	29	fisk	f i s k	51	f i s k - -	c c c c	83-15/f 205-3/e 48-2/s 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
#
211	German	fly (V)	30	fliːɡən	f l iː ɡ ə n	52	f l iː ɡ ə n	c c c c c c	83-15/f 44-18/l 278-1/yː 29-1/v 258-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
212	English	fly (V)	30	flaɪ	f l aɪ	52	f l - - aɪ -	c c c	83-15/f 44-18/l 278-1/yː 29-1/v 258-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
213	Danish	fly (V)	30	flyːvə	f l yː v ə	52	f l yː v ə -	c c c c c	83-15/f 44-18/l 278-1/yː 29-1/v 258-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
214	Swedish	fly (V)	30	flʉga	f l ʉ g a	52	f l ʉ g a -	c c c c c	83-15/f 44-18/l 278-1/yː 29-1/v 258-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
215	Icelandic	fly (V)	30	fljuːa	f l j uːa	52	f l - j uːa -	c c c c	83-15/f 44-18/l 278-1/yː 29-1/v 258-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
216	Dutch	fly (V)	30	vliːɣə	v l iː ɣ ə	52	v l iː ɣ ə -	c c c c c	83-15/f 44-18/l 278-1/yː 29-1/v 258-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
217	Norwegian	fly (V)	30	flyː	f l yː	52	f l - - yː -	c c c	83-15/f 44-18/l 278-1/yː 29-1/v 258-1/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
#
218	German	foot	31	fuːs	f uː s	53	f uː s - -	c c c	83-15/f 201-2/oˀ 275-6/ð 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
219	English	foot	31	fʊt	f ʊ t	53	f ʊ t - -	c c c	83-15/f 201-2/oˀ 275-6/ð 209-21/- 299-22/- 0/n 0/n 0/n 0/n
220	Danish	foot	31	foˀð	f oˀ ð	53	f oˀ ð - -	c c c	83-15/f 201-2/oˀ 275-6/ð 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
221	Swedish	foot	31	foːt	f oː t	53	f oː t - -	c c c	83-15/f 201-2/oˀ 275-6/ð 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
222	Icelandic	foot	31	fouːtʏr	f ouː t ʏ r	53	f ouː t ʏ r	c c c c c	83-15/f 201-2/oˀ 275-6/ð 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
223	Dutch	foot	31	vuːt	v uː t	53	v uː t - -	c c c	83-15/f 201-2/oˀ 275-6/ð 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
224	Norwegian	foot	31	fuːt	f uː t	53	f uː t - -	c c c	83-15/f 201-2/oˀ 275-6/ð 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
#
225	German	full	32	fɔl	f ɔ l	54	f ɔ - - l	c c c	83-15/f 305-2/u 82-1/- 209-21/- 211-1/lˀ 0/n 0/n 0/n 0/n
226	English	full	32	fʊl	f ʊ l	54	f ʊ - - l	c c c	83-15/f 305-2/u 82-1/- 209-21/- 211-1/lˀ 0/n 0/n 0/n 0/n
227	Danish	full	32	fulˀ	f u lˀ	54	f u - - lˀ	c c c	83-15/f 305-2/u 82-1/- 209-21/- 211-1/lˀ 0/n 0/n 0/n 0/n 0/n
228	Swedish	full	32	fulː	f u lː	54	f u - - lː	c c c	83-15/f 305-2/u 82-1/- 209-21/- 211-1/lˀ 0/n 0/n 0/n 0/n 0/n
229	Icelandic	full	32	fʏt͡lʏr	f ʏ t͡l ʏ r	54	f ʏ t͡l ʏ r	c c c c c	83-15/f 305-2/u 82-1/- 209-21/- 211-1/lˀ 0/n 0/n 0/n 0/n 0/n 0/n
230	Dutch	full	32	vɔl	v ɔ l	54	v ɔ - - l	c c c	83-15/f 305-2/u 82-1/- 209-21/- 211-1/lˀ 0/n 0/n 0/n 0/n
231	Norwegian	full	32	fʉl	f ʉ l	54	f ʉ - - l	c c c	83-15/f 305-2/u 82-1/- 209-21/- 211-1/lˀ 0/n 0/n 0/n 0/n
#
232	German	give (V)	33	ɡeːbən	ɡ eː b ə n	55	ɡ eː b ə n	c c c c c	163-1/g 80-1/iˀ 121-2/- 70-2/- 38-19/- 0/n 0/n 0/n 0/n 0/n
233	English	give (V)	33	ɡɪv	ɡ ɪ v	55	ɡ ɪ v - -	c c c	163-1/g 80-1/iˀ 121-2/- 70-2/- 38-19/- 0/n 0/n 0/n 0/n
234	Danish	give (V)	33	giˀ	g iˀ	55	g iˀ - - -	c c	163-1/g 80-1/iˀ 121-2/- 70-2/- 38-19/- 0/n 0/n 0/n 0/n 0/n
235	Swedish	give (V)	33	jiːva	j iː v a	55	j iː v a -	c c c c	163-1/g 80-1/iˀ 121-2/- 70-2/- 38-19/- 0/n 0/n 0/n 0/n 0/n
236	Icelandic	give (V)	33	cɛːva	c ɛː v a	55	c ɛː v a -	c c c c	163-1/g 80-1/iˀ 121-2/- 70-2/- 38-19/- 0/n 0/n 0/n 0/n 0/n
237	Dutch	give (V)	33	xeːvə	x eː v ə	55	x eː v ə -	c c c c	163-1/g 80-1/iˀ 121-2/- 70-2/- 38-19/- 0/n 0/n 0/n 0/n 0/n
238	Norwegian	give (V)	33	jiː	j iː	55	j iː - - -	c c	163-1/g 80-1/iˀ 121-2/- 70-2/- 38-19/- 0/n 0/n 0/n 0/n 0/n
#
239	German	good	34	ɡuːt	ɡ uː t	56	ɡ uː t - -	c c c	36-4/g 288-1/oˀ 232-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
240	English	good	34	ɡʊd	ɡ ʊ d	56	ɡ ʊ d - -	c c c	36-4/g 288-1/oˀ 232-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n
241	Danish	good	34	goˀ	g oˀ	56	g oˀ - - -	c c	36-4/g 288-1/oˀ 232-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
242	Swedish	good	34	guːd	g uː d	56	g uː d - -	c c c	36-4/g 288-1/oˀ 232-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
243	Icelandic	good	34	kouːðʏr	k ouː ð ʏ r	56	k ouː ð ʏ r	c c c c c	36-4/g 288-1/oˀ 232-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
244	Dutch	good	34	xuːt	x uː t	56	x uː t - -	c c c	36-4/g 288-1/oˀ 232-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
245	Norwegian	good	34	guː	g uː	56	g uː - - -	c c	36-4/g 288-1/oˀ 232-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
#
246	German	green	35	ɡryːn	ɡ r yː n	57	ɡ r yː n	c c c c	36-4/g 95-23/ʁ 150-1/ɶ 67-1/nˀ 0/n 0/n 0/n 0/n
247	English	green	35	ɡriːn	ɡ r iː n	57	ɡ r iː n	c c c c	36-4/g 95-23/ʁ 150-1/ɶ 67-1/nˀ 0/n 0/n 0/n 0/n
248	Danish	green	35	gʁɶnˀ	g ʁ ɶ nˀ	57	g ʁ ɶ nˀ	c c c c	36-4/g 95-23/ʁ 150-1/ɶ 67-1/nˀ 0/n 0/n 0/n 0/n
249	Swedish	green	35	grøːn	g r øː n	57	g r øː n	c c c c	36-4/g 95-23/ʁ 150-1/ɶ 67-1/nˀ 0/n 0/n 0/n 0/n
250	Icelandic	green	35	krait͡n	k r ai t͡n	57	k r ai t͡n	c c c c	36-4/g 95-23/ʁ 150-1/ɶ 67-1/nˀ 0/n 0/n 0/n 0/n 0/n 0/n
251	Dutch	green	35	xruːn	x r uː n	57	x r uː n	c c c c	36-4/g 95-23/ʁ 150-1/ɶ 67-1/nˀ 0/n 0/n 0/n 0/n
252	Norwegian	green	35	gɾœn	g ɾ œ n	57	g ɾ œ n	c c c c	36-4/g 95-23/ʁ 150-1/ɶ 67-1/nˀ 0/n 0/n 0/n
#
253	German	hair	36	haːr	h aː r	58	h aː r	c c c	229-9/h 9-1/ɒˀ 37-5/- 0/n 0/n 0/n
254	English	hair	36	hɛər	h ɛə r	58	h ɛə r	c c c	229-9/h 9-1/ɒˀ 37-5/- 0/n 0/n 0/n
255	Danish	hair	36	hɒˀ	h ɒˀ	58	h ɒˀ -	c c	229-9/h 9-1/ɒˀ 37-5/- 0/n 0/n 0/n
256	Swedish	hair	36	hoːr	h oː r	58	h oː r	c c c	229-9/h 9-1/ɒˀ 37-5/- 0/n 0/n 0/n
257	Icelandic	hair	36	hauːr	h auː r	58	h auː r	c c c	229-9/h 9-1/ɒˀ 37-5/- 0/n 0/n 0/n 0/n
258	Dutch	hair	36	haːr	h aː r	58	h aː r	c c c	229-9/h 9-1/ɒˀ 37-5/- 0/n 0/n 0/n
259	Norwegian	hair	36	hoːɾ	h oː ɾ	58	h oː ɾ	c c c	229-9/h 9-1/ɒˀ 37-5/- 0/n 0/n 0/n
#
260	German	hand	37	hant	h a n t	59	h a n t	c c c c	229-9/h 279-1/ʌ 222-4/nˀ 43-7/- 0/n 0/n 0/n
261	English	hand	37	hænd	h æ n d	59	h æ n d	c c c c	229-9/h 279-1/ʌ 222-4/nˀ 43-7/- 0/n 0/n 0/n
262	Danish	hand	37	hʌnˀ	h ʌ nˀ	59	h ʌ nˀ -	c c c	229-9/h 279-1/ʌ 222-4/nˀ 43-7/- 0/n 0/n 0/n 0/n
263	Swedish	hand	37	hanːd	h a nː d	59	h a nː d	c c c c	229-9/h 279-1/ʌ 222-4/nˀ 43-7/- 0/n 0/n 0/n 0/n
264	Icelandic	hand	37	hœnt	h œ n t	59	h œ n t	c c c c	229-9/h 279-1/ʌ 222-4/nˀ 43-7/- 0/n 0/n 0/n
265	Dutch	hand	37	hɑnt	h ɑ n t	59	h ɑ n t	c c c c	229-9/h 279-1/ʌ 222-4/nˀ 43-7/- 0/n 0/n 0/n
266	Norwegian	hand	37	hɔn	h ɔ n	-59	h ɔ n	c c c	0/n 0/n 0/n 0/n 0/n
#
267	German	head	38	kɔp͡f	k ɔ p͡f	-60	k ɔ p͡f	c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
268	English	head	38	hɛd	h ɛ d	61	h ɛ - - d -	c c c	229-9/h 303-1/oːə 79-1/- 226-1/- 223-2/ð 86-2/- 0/n 0/n 0/n 0/n 0/n
269	Danish	head	38	hoːəð	h oːə ð	61	h oːə - - ð -	c c c	229-9/h 303-1/oːə 79-1/- 226-1/- 223-2/ð 86-2/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
270	Swedish	head	38	huːvud	h uː v u d	61	h uː v u d -	c c c c c	229-9/h 303-1/oːə 79-1/- 226-1/- 223-2/ð 86-2/- 0/n 0/n 0/n 0/n 0/n 0/n
271	Icelandic	head	38	hœvʏð	h œ v ʏ ð	61	h œ v ʏ ð -	c c c c c	229-9/h 303-1/oːə 79-1/- 226-1/- 223-2/ð 86-2/- 0/n 0/n 0/n 0/n 0/n
272	Dutch	head	38	hoːft	h oː f t	61	h oː f - t -	c c c c	229-9/h 303-1/oːə 79-1/- 226-1/- 223-2/ð 86-2/- 0/n 0/n 0/n 0/n 0/n 0/n
273	Norwegian	head	38	huːdə	h uː d ə	61	h uː - - d ə	c c c c	229-9/h 303-1/oːə 79-1/- 226-1/- 223-2/ð 86-2/- 0/n 0/n 0/n 0/n 0/n 0/n
#
274	German	hear (V)	39	høːrən	h øː r ə n	62	h øː r ə n	c c c c c	229-9/h 99-2/øːʌ 37-5/- 120-1/- 38-19/- 0/n 0/n 0/n 0/n 0/n
275	English	hear (V)	39	hɪər	h ɪə r	62	h ɪə r - -	c c c	229-9/h 99-2/øːʌ 37-5/- 120-1/- 38-19/- 0/n 0/n 0/n 0/n 0/n
276	Danish	hear (V)	39	høːʌ	h øːʌ	62	h øːʌ - - -	c c	229-9/h 99-2/øːʌ 37-5/- 120-1/- 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
277	Swedish	hear (V)	39	høːra	h øː r a	62	h øː r a -	c c c c	229-9/h 99-2/øːʌ 37-5/- 120-1/- 38-19/- 0/n 0/n 0/n 0/n 0/n
278	Icelandic	hear (V)	39	heiːra	h eiː r a	62	h eiː r a -	c c c c	229-9/h 99-2/øːʌ 37-5/- 120-1/- 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
279	Dutch	hear (V)	39	hoːrə	h oː r ə	62	h oː r ə -	c c c c	229-9/h 99-2/øːʌ 37-5/- 120-1/- 38-19/- 0/n 0/n 0/n 0/n 0/n
280	Norwegian	hear (V)	39	høːɾə	h øː ɾ ə	62	h øː ɾ ə -	c c c c	229-9/h 99-2/øːʌ 37-5/- 120-1/- 38-19/- 0/n 0/n 0/n 0/n 0/n
#
281	German	heart	40	hɛrt͡s	h ɛ r t͡s	63	h ɛ r t͡s -	c c c c	159-1/j 164-2/æ 5-1/ʁ 89-2/d 127-2/ə 0/n 0/n 0/n 0/n 0/n 0/n
282	English	heart	40	hɑːrt	h ɑː r t	63	h ɑː r t -	c c c c	159-1/j 164-2/æ 5-1/ʁ 89-2/d 127-2/ə 0/n 0/n 0/n 0/n 0/n
283	Danish	heart	40	jæʁdə	j æ ʁ d ə	63	j æ ʁ d ə	c c c c c	159-1/j 164-2/æ 5-1/ʁ 89-2/d 127-2/ə 0/n 0/n 0/n 0/n
284	Swedish	heart	40	jɛrta	j ɛ r t a	63	j ɛ r t a	c c c c c	159-1/j 164-2/æ 5-1/ʁ 89-2/d 127-2/ə 0/n 0/n 0/n 0/n
285	Icelandic	heart	40	çar̥ta	ç a r̥ t a	63	ç a r̥ t a	c c c c c	159-1/j 164-2/æ 5-1/ʁ 89-2/d 127-2/ə 0/n 0/n 0/n 0/n 0/n
286	Dutch	heart	40	hɑrt	h ɑ r t	63	h ɑ r t -	c c c c	159-1/j 164-2/æ 5-1/ʁ 89-2/d 127-2/ə 0/n 0/n 0/n 0/n
287	Norwegian	heart	40	jæʈə	j æ ʈ ə	-63	j æ ʈ ə	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
741	German	heavy	102	ʃveːr	ʃ v eː r	164	ʃ v eː r	c c c c	20-3/s 94-9/v 73-2/ɛˀ 95-23/ʁ 0/n 0/n 0/n 0/n
742	English	heavy	102	hɛvɪ	h ɛ v ɪ	165	h ɛ v ɪ	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
